virtual_slot,virtual_hour,task_id,required_memory_gb,mode,selected_region,status
90,22.5,TC30-H90-T2,16.0,海南优先,海南,SUCCEEDED
91,22.75,TC30-H91-T1,16.0,加权平均,海南,SUCCEEDED
91,22.75,TC30-H91-T2,8.0,加权平均,海南,SUCCEEDED
92,23.0,TC30-H92-T1,8.0,海南优先,海南,SUCCEEDED
92,23.0,TC30-H92-T2,8.0,海南优先,海南,SUCCEEDED
93,23.25,TC30-H93-T1,8.0,加权平均,海南,SUCCEEDED
93,23.25,TC30-H93-T2,8.0,海南优先,海南,SUCCEEDED
94,23.5,TC30-H94-T1,8.0,加权平均,海南,SUCCEEDED
94,23.5,TC30-H94-T2,8.0,加权平均,海南,SUCCEEDED
95,23.75,TC30-H95-T1,8.0,海南优先,海南,SUCCEEDED
95,23.75,TC30-H95-T2,8.0,海南优先,海南,SUCCEEDED
