algorithm,total,success,unscheduled,success_rate_pct,avg_latency_ms,avg_cost,avg_energy,gpu_util_pct,avg_green_pct,avg_compute_ms
静态本地,30,14,16,46.67,54.5476,23.8964,6.9674,62.5,65.71,0.0522
先到先服务,30,22,8,73.33,62.3667,29.5318,7.2589,100.0,64.77,0.0136
最小延迟,30,22,8,73.33,60.3091,27.8114,6.872,95.0,65.45,0.0133
最小成本,30,21,9,70.0,53.4794,27.1357,7.4163,97.5,65.24,0.0157
遗传算法,30,22,8,73.33,58.7865,27.125,7.0039,97.5,64.77,12.2547
本文方法（动态权重多目标调度）,30,22,8,73.33,55.4789,26.5614,7.0669,97.5,65.45,0.0175
